EFO:0000001	experimental factor
NCBITaxon:1298	Deinococcus
NCBITaxon:1299	Deinococcus radiodurans
NCBITaxon:1302	Streptococcus gordonii
NCBITaxon:1303	Streptococcus oralis
NCBITaxon:13037	Danaus plexippus
NCBITaxon:1305	Streptococcus sanguinis
NCBITaxon:1307	Streptococcus suis
NCBITaxon:1308	Streptococcus thermophilus
NCBITaxon:1309	Streptococcus mutans
NCBITaxon:13095	Hypophthalmichthys molitrix
NCBITaxon:1311	Streptococcus agalactiae
NCBITaxon:1313	Streptococcus pneumoniae
NCBITaxon:1314	Streptococcus pyogenes
NCBITaxon:13146	Melopsittacus undulatus
NCBITaxon:13164	Myzus persicae
NCBITaxon:1324865	Brassica carinata x Brassica rapa {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:132919	Rhodococcus jostii
NCBITaxon:13333	Amborella trichopoda
NCBITaxon:1336	Streptococcus equi
NCBITaxon:13373	Burkholderia mallei
NCBITaxon:13427	Cichorium intybus
NCBITaxon:13442	Coffea
NCBITaxon:13443	Coffea arabica
NCBITaxon:134821	Ureaplasma parvum
NCBITaxon:13489	Dicentrarchus labrax
NCBITaxon:1351	Enterococcus faecalis
NCBITaxon:1352	Enterococcus faecium
NCBITaxon:1354	Enterococcus hirae
NCBITaxon:1358	Lactococcus lactis
NCBITaxon:1359	Lactococcus lactis subsp. cremoris
NCBITaxon:1360	Lactococcus lactis subsp. lactis
NCBITaxon:13616	Monodelphis domestica
NCBITaxon:136217	Curcuma longa
NCBITaxon:1363	Lactococcus garvieae
NCBITaxon:13642	Polysphondylium pallidum
NCBITaxon:13686	Solenopsis invicta
NCBITaxon:13689	Sphingomonas paucimobilis
NCBITaxon:137520	Hypomesus transpacificus
NCBITaxon:13773	Pyrobaculum aerophilum
NCBITaxon:13816	Marsilea quadrifolia
NCBITaxon:13894	Cocos nucifera
NCBITaxon:139	Borrelia burgdorferi
NCBITaxon:1390	Bacillus amyloliquefaciens
NCBITaxon:1392	Bacillus anthracis
NCBITaxon:1396	Bacillus cereus
NCBITaxon:139649	Teleopsis dalmanni
NCBITaxon:139650	Teleopsis quinqueguttata
NCBITaxon:139651	Teleopsis whitei
NCBITaxon:141655	Cervus elaphus hispanicus
NCBITaxon:141969	Oscheius tipulae
NCBITaxon:1423	Bacillus subtilis
NCBITaxon:1428	Bacillus thuringiensis
NCBITaxon:143451	Plasmopara viticola {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:143623	Maylandia
NCBITaxon:145942	Ophrys fusca
NCBITaxon:146500	Watermelon mosaic virus
NCBITaxon:146821	Streptomyces reticuliscabiei
NCBITaxon:147452	Staphylococcus saprophyticus subsp. saprophyticus
NCBITaxon:1480153	Marchantia polymorpha subsp. polymorpha {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:148305	Magnaporthe grisea
NCBITaxon:1488	Clostridium acetobutylicum
NCBITaxon:1491	Clostridium botulinum
NCBITaxon:1492	Clostridium butyricum
NCBITaxon:149539	Salmonella enterica subsp. enterica serovar Enteritidis
NCBITaxon:1496	Clostridium difficile
NCBITaxon:1502	Clostridium perfringens
NCBITaxon:1509	Clostridium sporogenes
NCBITaxon:1513	Clostridium tetani
NCBITaxon:1520	Clostridium beijerinckii
NCBITaxon:152263	Xanthomonas translucens pv. cerealis {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:152331	Lactobacillus parabuchneri
NCBITaxon:152480	Burkholderia ambifaria
NCBITaxon:1534	Clostridium kluyveri
NCBITaxon:153609	Moniliophthora perniciosa
NCBITaxon:15368	Brachypodium distachyon
NCBITaxon:15371	Bromus inermis
NCBITaxon:153939	uncultured sulfate-reducing bacterium
NCBITaxon:1547544	Pithomyces chartarum
NCBITaxon:155864	Escherichia coli O157:H7 str. EDL933
NCBITaxon:155892	Caulobacter vibrioides
NCBITaxon:155900	uncultured organism
NCBITaxon:1561	Clostridium baratii
NCBITaxon:156230	Karenia brevis
NCBITaxon:156532	Lilium hybrid division I
NCBITaxon:1578	Lactobacillus
NCBITaxon:1579	Lactobacillus acidophilus
NCBITaxon:158	Treponema denticola
NCBITaxon:1580	Lactobacillus brevis
NCBITaxon:1581	Lactobacillus buchneri
NCBITaxon:15819	Saccharum sp.
NCBITaxon:1582	Lactobacillus casei
NCBITaxon:1583	Weissella confusa
NCBITaxon:1584	Lactobacillus delbrueckii
NCBITaxon:158441	Folsomia candida
NCBITaxon:1585	Lactobacillus delbrueckii subsp. bulgaricus
NCBITaxon:158543	Aristolochia fimbriata
NCBITaxon:1587	Lactobacillus helveticus
NCBITaxon:1588	Lactobacillus hilgardii
NCBITaxon:158878	Staphylococcus aureus subsp. aureus Mu50
NCBITaxon:158879	Staphylococcus aureus subsp. aureus N315
NCBITaxon:158899	Collimonas fungivorans
NCBITaxon:1589	Lactobacillus pentosus
NCBITaxon:1590	Lactobacillus plantarum
NCBITaxon:1596	Lactobacillus gasseri
NCBITaxon:1597	Lactobacillus paracasei
NCBITaxon:1598	Lactobacillus reuteri
NCBITaxon:1599	Lactobacillus sakei
NCBITaxon:160	Treponema pallidum
NCBITaxon:1602	Lactobacillus alimentarius
NCBITaxon:1604	Lactobacillus amylovorus
NCBITaxon:160488	Pseudomonas putida KT2440
NCBITaxon:160492	Xylella fastidiosa 9a5c
NCBITaxon:160699	Agrobacterium larrymoorei
NCBITaxon:1612	Lactobacillus farciminis
NCBITaxon:1613	Lactobacillus fermentum
NCBITaxon:1614	Lactobacillus fructivorans
NCBITaxon:1624	Lactobacillus salivarius
NCBITaxon:162425	Emericella nidulans
NCBITaxon:1625	Lactobacillus sanfranciscensis
NCBITaxon:1639	Listeria monocytogenes
NCBITaxon:164110	Nicotiana langsdorffii x Nicotiana sanderae
NCBITaxon:1642	Listeria innocua
NCBITaxon:165597	Crocosphaera watsonii WH 8501
NCBITaxon:166361	Onthophagus taurus
NCBITaxon:167481	Lactobacillus mindensis
NCBITaxon:167542	Prochlorococcus marinus str. MIT 9515
NCBITaxon:1678	Bifidobacterium
NCBITaxon:1681	Bifidobacterium bifidum
NCBITaxon:168172	Puccinia striiformis f. sp. tritici {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:1685	Bifidobacterium breve
NCBITaxon:169388	Fusarium solani
NCBITaxon:169963	Listeria monocytogenes EGD-e
NCBITaxon:170187	Streptococcus pneumoniae TIGR4
NCBITaxon:1703	Brevibacterium linens
NCBITaxon:171101	Streptococcus pneumoniae R6
NCBITaxon:1717	Corynebacterium diphtheriae
NCBITaxon:1718	Corynebacterium glutamicum
NCBITaxon:171953	uncultured Acidobacteria bacterium
NCBITaxon:171960	Vitis sp. cv. 'Norton'
NCBITaxon:172680	Chlamydotis undulata
NCBITaxon:172790	Solanum phureja
NCBITaxon:173	Leptospira interrogans
NCBITaxon:174621	Wyeomyia smithii
NCBITaxon:174633	Candidatus Kuenenia stuttgartiensis
NCBITaxon:1747	Propionibacterium acnes
NCBITaxon:1752	Propionibacterium freudenreichii subsp. shermanii
NCBITaxon:176299	Agrobacterium tumefaciens str. C58
NCBITaxon:1764	Mycobacterium avium
NCBITaxon:1765	Mycobacterium bovis
NCBITaxon:1769	Mycobacterium leprae
NCBITaxon:1770	Mycobacterium avium subsp. paratuberculosis
NCBITaxon:1772	Mycobacterium smegmatis
NCBITaxon:1773	Mycobacterium tuberculosis
NCBITaxon:177416	Francisella tularensis subsp. tularensis SCHU S4
NCBITaxon:178876	Cryptococcus neoformans var. grubii
NCBITaxon:18101	Gerbera hybrid cultivar
NCBITaxon:181288	Lotus uliginosus
NCBITaxon:182096	Aspergillus chevalieri
NCBITaxon:183190	Xylella fastidiosa Temecula1
NCBITaxon:1836	Saccharopolyspora erythraea
NCBITaxon:183674	Miscanthus x giganteus
NCBITaxon:183925	Methanobacteria
NCBITaxon:185431	Trypanosoma brucei TREU927
NCBITaxon:186497	Pyrococcus furiosus DSM 3638
NCBITaxon:186538	Zaire ebolavirus
NCBITaxon:186539	Reston ebolavirus
NCBITaxon:186540	Sudan ebolavirus
NCBITaxon:186801	Clostridia
NCBITaxon:186842	Mus musculus x Mus spretus
NCBITaxon:187623	Cryptopygus antarcticus
NCBITaxon:188704	Enteromyxum leei
NCBITaxon:1890	Streptomyces antibioticus
NCBITaxon:189291	Meloidogyne graminicola {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:1894	Streptomyces aureofaciens
NCBITaxon:189518	Leptospira interrogans serovar Lai str. 56601
NCBITaxon:1896	Streptomyces bikiniensis
NCBITaxon:1901	Streptomyces clavuligerus
NCBITaxon:1902	Streptomyces coelicolor
NCBITaxon:190486	Xanthomonas axonopodis pv. citri str. 306
NCBITaxon:1905	Streptomyces exfoliatus
NCBITaxon:1906	Streptomyces fradiae
NCBITaxon:190650	Caulobacter crescentus CB15
NCBITaxon:190802	Cleome gynandra
NCBITaxon:1911	Streptomyces griseus
NCBITaxon:191292	Rhodococcus aetherivorans
NCBITaxon:1916	Streptomyces lividans
NCBITaxon:1919	Streptomyces microflavus
NCBITaxon:192222	Campylobacter jejuni subsp. jejuni NCTC 11168
NCBITaxon:192399	Eucalyptus grandis x Eucalyptus urophylla
NCBITaxon:192452	Cocksfoot streak virus
NCBITaxon:1927	Streptomyces rimosus
NCBITaxon:1928	Streptomyces rochei
NCBITaxon:192955	Salmonella enterica subsp. enterica serovar Kentucky
NCBITaxon:1930	Streptomyces scabiei
NCBITaxon:194	Campylobacter
NCBITaxon:195	Campylobacter coli
NCBITaxon:195102	Clostridium perfringens str. 13
NCBITaxon:195635	Pleuronichthys verticalis
NCBITaxon:1961	Streptomyces virginiae
NCBITaxon:196620	Staphylococcus aureus subsp. aureus MW2
NCBITaxon:196627	Corynebacterium glutamicum ATCC 13032
NCBITaxon:197	Campylobacter jejuni
NCBITaxon:197221	Thermosynechococcus elongatus BP-1
NCBITaxon:198094	Bacillus anthracis str. Ames
NCBITaxon:198214	Shigella flexneri 2a str. 301
NCBITaxon:198431	uncultured prokaryote
NCBITaxon:198504	Spartina x townsendii
NCBITaxon:199200	Pseudomonas syringae pv. japonica {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:199310	Escherichia coli CFT073
NCBITaxon:2	Bacteria
NCBITaxon:2001	Streptosporangium roseum
NCBITaxon:200361	Aegilops tauschii subsp. strangulata {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:202457	Callicebus cupreus
NCBITaxon:202907	Collimonas
NCBITaxon:203119	Clostridium thermocellum ATCC 27405
NCBITaxon:203262	Epinephelus tauvina
NCBITaxon:203404	Lactococcus lactis subsp. hordniae
NCBITaxon:203907	Candidatus Blochmannia floridanus
NCBITaxon:203908	Melampsora larici-populina
NCBITaxon:204038	Dickeya dadantii
NCBITaxon:204773	Herminiimonas arsenicoxydans
NCBITaxon:205920	Ehrlichia chaffeensis str. Arkansas
NCBITaxon:205922	Pseudomonas fluorescens Pf0-1
NCBITaxon:207559	Desulfovibrio alaskensis G20
NCBITaxon:208963	Pseudomonas aeruginosa UCBPP-PA14
NCBITaxon:208964	Pseudomonas aeruginosa PAO1
NCBITaxon:208973	Choristoneura fumiferana MNPV
NCBITaxon:209261	Salmonella enterica subsp. enterica serovar Typhi str. Ty2
NCBITaxon:2096	Mycoplasma gallisepticum
NCBITaxon:2097	Mycoplasma genitalium
NCBITaxon:209841	Actinobacillus pleuropneumoniae serovar 7
NCBITaxon:2099	Mycoplasma hyopneumoniae
NCBITaxon:210	Helicobacter pylori
NCBITaxon:210007	Streptococcus mutans UA159
NCBITaxon:211586	Shewanella oneidensis MR-1
NCBITaxon:212035	Acanthamoeba polyphaga mimivirus
NCBITaxon:212042	Anaplasma phagocytophilum HZ
NCBITaxon:214684	Cryptococcus neoformans var. neoformans JEC21
NCBITaxon:2157	Archaea
NCBITaxon:2160	Methanobacterium
NCBITaxon:216193	Sylvia communis
NCBITaxon:216389	Dehalococcoides sp. BAV1
NCBITaxon:216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344
NCBITaxon:216816	Bifidobacterium longum
NCBITaxon:216895	Vibrio vulnificus CMCP6
NCBITaxon:2173	Methanobrevibacter smithii
NCBITaxon:218196	Moniezia benedeni
NCBITaxon:2184	Methanococcus
NCBITaxon:220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18
NCBITaxon:220664	Pseudomonas fluorescens Pf-5
NCBITaxon:220668	Lactobacillus plantarum WCFS1
NCBITaxon:2208	Methanosarcina barkeri
NCBITaxon:2209	Methanosarcina mazei
NCBITaxon:221654	Palaemonetes pugio
NCBITaxon:223283	Pseudomonas syringae pv. tomato str. DC3000
NCBITaxon:223430	Aquilegia formosa
NCBITaxon:223926	Vibrio parahaemolyticus RIMD 2210633
NCBITaxon:2242	Halobacterium salinarum
NCBITaxon:224308	Bacillus subtilis subsp. subtilis str. 168
NCBITaxon:2246	Haloferax volcanii
NCBITaxon:224729	Salmonella enterica subsp. enterica serovar Java
NCBITaxon:224911	Bradyrhizobium japonicum USDA 110
NCBITaxon:224914	Brucella melitensis bv. 1 str. 16M
NCBITaxon:2261	Pyrococcus furiosus
NCBITaxon:226125	Saccharomyces paradoxus NRRL Y-17217
NCBITaxon:226126	Saccharomyces mikatae IFO 1815
NCBITaxon:226127	Saccharomyces bayanus MCYC 623
NCBITaxon:226185	Enterococcus faecalis V583
NCBITaxon:226186	Bacteroides thetaiotaomicron VPI-5482
NCBITaxon:226302	Lachancea kluyveri NRRL Y-12651
NCBITaxon:226900	Bacillus cereus ATCC 14579
NCBITaxon:2271	Thermoproteus tenax
NCBITaxon:227859	SARS coronavirus
NCBITaxon:227984	SARS coronavirus Tor2
NCBITaxon:228399	Actinobacillus pleuropneumoniae serovar 1 str. 4074
NCBITaxon:228410	Nitrosomonas europaea ATCC 19718
NCBITaxon:228457	Laternula elliptica
NCBITaxon:2285	Sulfolobus acidocaldarius
NCBITaxon:228578	Youcai mosaic virus
NCBITaxon:2287	Sulfolobus solfataricus
NCBITaxon:229990	Locusta migratoria manilensis
NCBITaxon:230603	Saccharomyces uvarum
NCBITaxon:231010	Arthroderma racemosum
NCBITaxon:231049	Lactobacillus rossiae
NCBITaxon:23211	Pyrus communis
NCBITaxon:233412	Haemophilus ducreyi 35000HP
NCBITaxon:2336	Thermotoga maritima
NCBITaxon:2337	Thermotoga neapolitana
NCBITaxon:233779	Spea bombifrons
NCBITaxon:235	Brucella abortus
NCBITaxon:235443	Cryptococcus neoformans var. grubii H99
NCBITaxon:2361	Calyptogena magnifica symbiont
NCBITaxon:2371	Xylella fastidiosa
NCBITaxon:237574	Citrus sunki
NCBITaxon:238245	Stenocarpella maydis
NCBITaxon:238854	Synechococcus phage S-PM2
NCBITaxon:239770	Pyrus hybrid cultivar
NCBITaxon:240495	Pseudonocardia dioxanivorans
NCBITaxon:242124	Populus yunnanensis
NCBITaxon:242507	Magnaporthe oryzae 70-15
NCBITaxon:242619	Porphyromonas gingivalis W83
NCBITaxon:243159	Acidithiobacillus ferrooxidans ATCC 23270
NCBITaxon:243164	Dehalococcoides ethenogenes 195
NCBITaxon:243230	Deinococcus radiodurans R1
NCBITaxon:243231	Geobacter sulfurreducens PCA
NCBITaxon:243265	Photorhabdus luminescens subsp. laumondii TTO1
NCBITaxon:246196	Mycobacterium smegmatis str. MC2 155
NCBITaxon:246200	Ruegeria pomeroyi DSS-3
NCBITaxon:252598	Saccharomyces boulardii
NCBITaxon:257758	Streptococcus pseudopneumoniae
NCBITaxon:258594	Rhodopseudomonas palustris CGA009
NCBITaxon:259536	Psychrobacter arcticus 273-4
NCBITaxon:260799	Bacillus anthracis str. Sterne
NCBITaxon:262543	Exiguobacterium sibiricum 255-15
NCBITaxon:262728	Haemophilus influenzae R2866
NCBITaxon:263	Francisella tularensis
NCBITaxon:264462	Bdellovibrio bacteriovorus HD100
NCBITaxon:264653	Synechococcus phage S-RSM2
NCBITaxon:264956	Lotus filicaulis
NCBITaxon:265606	Rhodopirellula baltica
NCBITaxon:265669	Listeria monocytogenes serotype 4b str. F2365
NCBITaxon:266264	Cupriavidus metallidurans CH34
NCBITaxon:267377	Methanococcus maripaludis S2
NCBITaxon:267608	Ralstonia solanacearum GMI1000
NCBITaxon:2708	Citrus limon
NCBITaxon:2711	Citrus sinensis
NCBITaxon:272556	Aggregatibacter actinomycetemcomitans HK1651
NCBITaxon:272559	Bacteroides fragilis NCTC 9343
NCBITaxon:272560	Burkholderia pseudomallei K96243
NCBITaxon:272562	Clostridium acetobutylicum ATCC 824
NCBITaxon:272563	Clostridium difficile 630
NCBITaxon:272623	Lactococcus lactis subsp. lactis Il1403
NCBITaxon:272624	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
NCBITaxon:272630	Methylobacterium extorquens AM1
NCBITaxon:272843	Pasteurella multocida subsp. multocida str. Pm70
NCBITaxon:27291	Saccharomyces paradoxus
NCBITaxon:27292	Saccharomyces pastorianus
NCBITaxon:272943	Rhodobacter sphaeroides 2.4.1
NCBITaxon:272944	Rickettsia conorii str. Malish 7
NCBITaxon:273057	Sulfolobus solfataricus P2
NCBITaxon:273075	Thermoplasma acidophilum DSM 1728
NCBITaxon:27334	Penicillium expansum
NCBITaxon:273357	Ngari virus
NCBITaxon:273384	Brevibacterium aurantiacum
NCBITaxon:2759	Eukaryota
NCBITaxon:27606	Eubalaena glacialis
NCBITaxon:27706	Micropterus salmoides
NCBITaxon:27771	Limanda limanda
NCBITaxon:278028	Naumovozyma
NCBITaxon:2788	Pyropia yezoensis
NCBITaxon:28035	Staphylococcus lugdunensis
NCBITaxon:28037	Streptococcus mitis
NCBITaxon:28038	Lactobacillus curvatus
NCBITaxon:280463	Emiliania huxleyi CCMP1516
NCBITaxon:28081	Bordetella sp.
NCBITaxon:28097	Ralstonia syzygii
NCBITaxon:28116	Bacteroides ovatus
NCBITaxon:28147	Salmonella enterica subsp. enterica serovar Oranienburg
NCBITaxon:28150	Salmonella enterica subsp. enterica serovar Senftenberg
NCBITaxon:281680	Oscheius myriophila
NCBITaxon:282458	Staphylococcus aureus subsp. aureus MRSA252
NCBITaxon:282459	Staphylococcus aureus subsp. aureus MSSA476
NCBITaxon:28280	Human adenovirus 4
NCBITaxon:28284	Human adenovirus 40
NCBITaxon:28285	Human adenovirus 5
NCBITaxon:28377	Anolis carolinensis
NCBITaxon:28450	Burkholderia pseudomallei
NCBITaxon:284812	Schizosaccharomyces pombe 972h-
NCBITaxon:2850	Phaeodactylum tricornutum
NCBITaxon:28572	Penicillium funiculosum
NCBITaxon:285720	Senecio cambrensis
NCBITaxon:28573	Penicillium islandicum
NCBITaxon:285950	Aegilops tauschii x Triticum turgidum
NCBITaxon:286	Pseudomonas {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:28610	Rhagoletis pomonella
NCBITaxon:286192	Saccharum officinarum complex
NCBITaxon:286784	Salmonella enterica subsp. enterica serovar Emek
NCBITaxon:287	Pseudomonas aeruginosa
NCBITaxon:2879	Ectocarpus
NCBITaxon:2880	Ectocarpus siliculosus
NCBITaxon:28829	Solea senegalensis
NCBITaxon:28841	Moniezia expansa
NCBITaxon:28901	Salmonella enterica
NCBITaxon:28930	Fagus sylvatica
NCBITaxon:28985	Kluyveromyces lactis
NCBITaxon:2903	Emiliania huxleyi
NCBITaxon:290397	Anaeromyxobacter dehalogenans 2CP-C
NCBITaxon:290402	Clostridium beijerinckii NCIMB 8052
NCBITaxon:29058	Helicoverpa armigera
NCBITaxon:291331	Xanthomonas oryzae pv. oryzae KACC10331
NCBITaxon:29149	Protomelas similis
NCBITaxon:29158	Mytilus galloprovincialis
NCBITaxon:29159	Crassostrea gigas
NCBITaxon:29176	Neospora caninum
NCBITaxon:291982	Strombus gigas
NCBITaxon:292	Burkholderia cepacia
NCBITaxon:2926	Alexandrium tamarense
NCBITaxon:29291	Methanococcoides burtonii
NCBITaxon:29303	Streptomyces cattleya
NCBITaxon:29341	Clostridium argentinense
NCBITaxon:293653	Streptococcus pyogenes MGAS5005
NCBITaxon:29385	Staphylococcus saprophyticus
NCBITaxon:29390	Streptococcus gordonii str. Challis
NCBITaxon:294	Pseudomonas fluorescens
NCBITaxon:29459	Brucella melitensis
NCBITaxon:29471	Pectobacterium atrosepticum
NCBITaxon:294748	Candida albicans WO-1
NCBITaxon:294934	Streptococcus pyogenes M49 591
NCBITaxon:295405	Bacteroides fragilis YCH46
NCBITaxon:29544	Azoarcus sp.
NCBITaxon:29583	Funaria hygrometrica
NCBITaxon:29596	Ceratopteris thalictroides
NCBITaxon:296543	Thalassiosira pseudonana CCMP1335
NCBITaxon:29655	Zostera marina
NCBITaxon:296591	Polaromonas sp. JS666
NCBITaxon:29706	Spartina alterniflora
NCBITaxon:29729	Gossypium arboreum
NCBITaxon:29760	Vitis vinifera
NCBITaxon:298378	Fusarium incarnatum
NCBITaxon:29875	Hypocrea virens
NCBITaxon:29883	Laccaria bicolor
NCBITaxon:299033	Lactobacillus reuteri F275
NCBITaxon:29916	Fusarium sp.
NCBITaxon:299768	Streptococcus thermophilus CNRZ1066
NCBITaxon:300	Pseudomonas mendocina
NCBITaxon:300275	Lachancea
NCBITaxon:300852	Thermus thermophilus HB8
NCBITaxon:302911	Bifidobacterium animalis subsp. lactis
NCBITaxon:303	Pseudomonas putida
NCBITaxon:305	Ralstonia solanacearum
NCBITaxon:3055	Chlamydomonas reinhardtii
NCBITaxon:30608	Microcebus murinus
NCBITaxon:3067	Volvox carteri
NCBITaxon:308872	Phalaenopsis aphrodite subsp. formosana
NCBITaxon:309358	Saccharina latissima
NCBITaxon:310453	Neofusicoccum parvum {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:311424	Dehalococcoides sp. VS
NCBITaxon:31192	Holothuria glaberrima
NCBITaxon:311982	Streptomyces hygroscopicus subsp. jinggangensis
NCBITaxon:31234	Caenorhabditis remanei
NCBITaxon:31271	Plasmodium chabaudi chabaudi
NCBITaxon:31285	Trypanosoma brucei gambiense
NCBITaxon:31537	Lactococcus phage c2
NCBITaxon:316275	Aliivibrio salmonicida LFI1238
NCBITaxon:31741	Wheat streak mosaic virus {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:31870	Colletotrichum graminicola {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:318829	Magnaporthe oryzae
NCBITaxon:31899	Caldicellulosiruptor bescii
NCBITaxon:319	Pseudomonas syringae pv. phaseolicola
NCBITaxon:319701	Streptococcus pyogenes MGAS6180
NCBITaxon:32025	Helicobacter hepaticus
NCBITaxon:32046	Synechococcus elongatus
NCBITaxon:3218	Physcomitrella patens
NCBITaxon:321956	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365
NCBITaxon:32247	Rubus idaeus
NCBITaxon:32264	Tetranychus urticae
NCBITaxon:323	Pseudomonas syringae pv. tomato {has_synonym_type="equivalent_name"}
NCBITaxon:3246	Selaginella
NCBITaxon:32499	Julidochromis marlieri
NCBITaxon:32507	Neolamprologus brichardi
NCBITaxon:3258	Equisetum arvense {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:326028	Geranium dissectum
NCBITaxon:32604	Human herpesvirus 6B
NCBITaxon:32630	synthetic construct
NCBITaxon:326424	Frankia alni ACN14a
NCBITaxon:326425	Lactobacillus helveticus CNRZ32
NCBITaxon:326426	Bifidobacterium breve UCC2003
NCBITaxon:328808	Streptopelia risoria
NCBITaxon:329	Ralstonia pickettii
NCBITaxon:33045	Bartonella grahamii
NCBITaxon:330779	Sulfolobus acidocaldarius DSM 639
NCBITaxon:33085	Entamoeba invadens
NCBITaxon:330879	Aspergillus fumigatus Af293
NCBITaxon:33090	Viridiplantae
NCBITaxon:3311	Ginkgo biloba
NCBITaxon:33125	Lepidium sativum
NCBITaxon:33154	Opisthokonta {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:33208	Metazoa {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii
NCBITaxon:3326	Larix laricina
NCBITaxon:3329	Picea abies
NCBITaxon:3330	Picea glauca
NCBITaxon:3332	Picea sitchensis
NCBITaxon:3335	Picea mariana
NCBITaxon:3347	Pinus radiata
NCBITaxon:3348	Pinus strobus
NCBITaxon:3349	Pinus sylvestris
NCBITaxon:335992	Candidatus Pelagibacter ubique HTCC1062
NCBITaxon:33634	Stramenopiles {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:33653	Cafeteria roenbergensis
NCBITaxon:336722	Zymoseptoria tritici IPO323 {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:337	Burkholderia glumae {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:33743	Kyasanur forest disease virus
NCBITaxon:338	Xanthomonas {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
NCBITaxon:338187	Vibrio harveyi ATCC BAA-1116
NCBITaxon:33858	environmental samples
NCBITaxon:33892	Mycobacterium bovis BCG
NCBITaxon:33903	Streptomyces avermitilis
NCBITaxon:33959	Lactobacillus johnsonii
NCBITaxon:33964	Leuconostoc citreum
NCBITaxon:33968	Leuconostoc pseudomesenteroides
NCBITaxon:34	Myxococcus xanthus
NCBITaxon:340	Xanthomonas campestris pv. campestris
NCBITaxon:34063	Actinobacillus pleuropneumoniae serovar 2
NCBITaxon:3415	Liriodendron tulipifera
NCBITaxon:34199	Aloe vera
NCBITaxon:342108	Magnetospirillum magneticum AMB-1
NCBITaxon:342110	Ralstonia solanacearum UW551
NCBITaxon:34245	Zinnia violacea
NCBITaxon:34274	Gossypium herbaceum
NCBITaxon:34275	Gossypium mustelinum
NCBITaxon:34276	Gossypium darwinii
NCBITaxon:34277	Gossypium tomentosum
NCBITaxon:34280	Gossypium longicalyx
NCBITaxon:34305	Lotus japonicus
NCBITaxon:34317	Eucalyptus globulus
NCBITaxon:3435	Persea americana
NCBITaxon:34386	Trichophyton schoenleinii
NCBITaxon:34388	Trichophyton violaceum
NCBITaxon:34391	Epidermophyton floccosum
NCBITaxon:343990	Populus maximowiczii x Populus nigra
NCBITaxon:34506	Strongyloides ratti
NCBITaxon:346187	Teleopsis thaii
NCBITaxon:34620	Dermacentor andersoni
NCBITaxon:3467	Eschscholzia californica
NCBITaxon:3469	Papaver somniferum
NCBITaxon:347834	Rhizobium etli CFN 42
NCBITaxon:3483	Cannabis sativa
NCBITaxon:3486	Humulus lupulus
NCBITaxon:349123	Lactobacillus reuteri 100-23
NCBITaxon:349161	Desulfotomaculum reducens MI-1
NCBITaxon:3505	Betula pendula
NCBITaxon:35128	Thalassiosira pseudonana
NCBITaxon:351534	Ptomaphagus
NCBITaxon:3517	Alnus glutinosa
